iter	Passed	Remaining
0	147	147768
1	149	74704
2	151	50408
3	153	38181
4	154	30821
5	156	25892
6	158	22526
7	160	19892
8	161	17803
9	162	16133
10	164	14754
11	165	13596
12	166	12678
13	168	11876
14	170	11178
15	171	10552
16	172	9992
17	173	9487
18	175	9064
19	178	8726
20	179	8362
21	180	8017
22	181	7707
23	183	7457
24	184	7200
25	185	6951
26	186	6725
27	188	6545
28	190	6384
29	192	6211
30	193	6036
31	194	5896
32	195	5740
33	197	5616
34	199	5497
35	200	5369
36	201	5244
37	202	5126
38	203	5013
39	204	4906
40	205	4803
41	206	4718
42	208	4631
43	209	4542
44	210	4464
45	211	4385
46	212	4316
47	213	4241
48	215	4176
49	216	4110
50	218	4058
51	219	3998
52	220	3941
53	221	3887
54	223	3834
55	224	3782
56	225	3728
57	226	3674
58	227	3623
59	228	3573
60	229	3525
61	230	3487
62	231	3450
63	232	3406
64	233	3363
65	234	3321
66	235	3284
67	236	3241
68	237	3206
69	238	3172
70	240	3144
71	241	3114
72	242	3084
73	243	3051
74	244	3021
75	246	2999
76	248	2978
77	249	2947
78	250	2916
79	251	2888
80	251	2858
81	252	2829
82	253	2802
83	254	2775
84	255	2746
85	256	2721
86	256	2693
87	257	2668
88	258	2645
89	259	2623
90	260	2601
91	261	2579
92	262	2557
93	263	2535
94	263	2513
95	264	2493
96	265	2473
97	266	2453
98	267	2433
99	268	2413
100	269	2395
101	269	2373
102	270	2354
103	271	2336
104	272	2320
105	273	2303
106	273	2286
107	274	2271
108	275	2255
109	276	2239
110	277	2223
111	278	2208
112	279	2193
113	280	2178
114	281	2164
115	281	2148
116	282	2134
117	283	2120
118	284	2105
119	285	2090
120	286	2078
121	286	2064
122	287	2048
123	288	2036
124	289	2025
125	290	2012
126	291	2001
127	291	1987
128	292	1976
129	293	1965
130	294	1953
131	295	1943
132	296	1932
133	297	1921
134	298	1910
135	299	1900
136	300	1889
137	300	1878
138	301	1867
139	302	1858
140	303	1849
141	304	1840
142	305	1831
143	306	1822
144	307	1813
145	308	1804
146	309	1795
147	310	1786
148	311	1778
149	312	1769
150	313	1760
151	313	1751
152	314	1742
153	315	1734
154	316	1726
155	318	1722
156	319	1715
157	320	1707
158	321	1699
159	322	1690
160	323	1683
161	323	1675
162	324	1668
163	325	1661
164	326	1653
165	327	1646
166	328	1638
167	329	1631
168	330	1623
169	331	1616
170	332	1611
171	333	1604
172	334	1597
173	335	1591
174	336	1584
175	336	1577
176	337	1571
177	338	1564
178	339	1558
179	340	1551
180	341	1543
181	341	1536
182	342	1530
183	343	1524
184	344	1517
185	345	1510
186	346	1505
187	347	1499
188	348	1493
189	348	1487
190	349	1481
191	350	1475
192	351	1470
193	352	1464
194	353	1458
195	354	1452
196	354	1446
197	355	1440
198	356	1435
199	357	1429
200	358	1424
201	359	1419
202	360	1415
203	361	1410
204	362	1404
205	363	1399
206	364	1394
207	364	1389
208	365	1384
209	366	1379
210	367	1374
211	368	1369
212	369	1363
213	369	1358
214	370	1354
215	371	1349
216	372	1344
217	373	1339
218	374	1335
219	375	1331
220	376	1327
221	377	1322
222	378	1318
223	379	1314
224	380	1309
225	381	1305
226	381	1300
227	382	1296
228	383	1292
229	384	1287
230	385	1283
231	386	1280
232	387	1275
233	388	1271
234	389	1268
235	390	1264
236	391	1260
